ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Description
2951-Hemmedloweredgeofgarment,Hemmed lower edge of garment,,,2951-Hemmedloweredgeofgarment,  ‘Hemmed lower edge of garment’ [Lunyu] (Karlgren 1956: 16). 
2952-Statelyeven,"Stately, even",,,2952-Statelyeven,"  ‘Stately, even’ [Shi] (Baxter 1992: 462). "
2953-Navel,Navel,,,2953-Navel,"  ‘Navel’ [Zuo].   ||  [E] Perh. related to PTB *lay ~ *s-tay > JP dai³¹, ʃă³¹-dai³³ ‘navel’, Garo ste ‘abdomen’, WT lte-ba < ɴ˘le ‘navel’ (STC: 65), Mru dai ‘navel’. Prob. unrelated to the synonym → pí3 膍.  "
2954-Waterleech,Water leech,,,2954-Waterleech,"  ‘Water leech’ is acc. to Guō Pú’s commentary to EY a Jiāngdōng (lower Yangtze) dialect word; it still is used in southern dialects: PMin *gʰi > Fúzhōu maᴬ²-kʰiᴬ², Xiàmén gɔᴬ²-kʰiᴬ²; Y-Guǎngzhōu kʰeiᴬ²-naᴮ (Norman 1983: 207). "
2955-Toaskforbeg,"To ask for, beg",,,2955-Toaskforbeg,"  ‘To ask for, beg’ [Lunyu, Hanfei]. "
2956-Togive,To give,,,2956-Togive,"  ‘To give’ [Hanshu] (Takashima 1996 II: 130: Herforth 1984).  ||  [<] exoactive (extrovert, ditrans.) of qǐ 乞 (kʰjət) (§4.3.1).  ||  [E] ? ST: perh. Limbu kɛt- ‘arrive’, -kɛtt- ‘to convey, deliver’; Kanauri ket, Thebor kʰet ‘to give’ [IST 133]. "
2957-Willow,Willow,,,2957-Willow,"  ‘Willow’ [Shi], Lycium chinense, a kind of creeper [Shi].  ||  Unger (Hao-ku 38, 1992: 76) relates this word to WT kʰri-šiŋ ‘a creeper’, lit. ‘winding wood’ < ’kʰri-ba ‘to wind round’; he adds qí 萁 (gji) ‘stalks of pulse’ [Huainan], i.e. ‘runner, climber’, and suggests a possible connection with → jī6 箕 ‘basket’.  "
2958-Akindofmilletcoix,"A kind of millet, coix",,,2958-Akindofmilletcoix,"  ‘A kind of millet, coix’ [Shi]. Unger (Hao-ku 38, 1992: 76) relates this word to WT kʰre ‘millet’. Baxter a. Sagart (1998: 52) relate it to → chì6 饎耡 ‘sacrif. millet’. "
2959-Torise,To rise,,,2959-Torise,"  ‘To rise’ [Shi].   ||  [T] Sin S. SR k'jej (上), PR k'i; MGZY khi (上) [k'i]; ONW kʰiə  ||  [E] Unger (Hao-ku 38, 1992: 76) relates this word to Gurung ri ‘to rise; WT kye-re (also kyer ?) ‘upright’, also PLB *kyi² ‘lift up, raise’ > WB kʰyi ‘lift, raise, begin’.  "
2960-Standontiptoe,Stand on tiptoe,,,2960-Standontiptoe,"  ‘Stand on tiptoe’ 跂 [Shi], 企 [Lao].   ||  [T] Sin Sukchu SR k'jej (上), PR k'i; MGZY khÿi (上去) [k'ji]; Sui-Tang kʰi, ONW kʰie  ||  [E] ST: JP kʰyè  [Matisoff TSR no. 98], n³¹-kʰyeŋ³¹ ‘oblique, slanting’. This wf is prob. connected with → jī4 奇 ‘odd’ and → jǐ3 掎 ‘pull aside’. "
2961-Slanting,Slanting,,,2961-Slanting,  ‘Slanting’ [SW: Shi].  
2963-Joint,Joint,,,2963-Joint,  ‘Joint’ (in the body) [Zhuang]. 
2964-Toopenopenupstartenlighten,"To open, open up, start, enlighten",,,2964-Toopenopenupstartenlighten,"  ‘To open, open up, start, enlighten’ [BI, Shi], ‘clear (of the sky)’ [OB]; ‘to kneel’ [Shi] (< ‘bend in the joint’); ‘to bow down (the head) to the ground’ 稽 [Zhouli]. The fundamental meaning was ‘bend / open something hinged, something with a joint like a door.  ||  The word qǐ 啟 ‘open’ was tabooed after the death of Emperor Jǐng Dì 景帝 in 140 BC and was replaced by → kāi 開, acc. to JDSW (Sagart 1999: 76).   ||  [C] A possible allofam is → jī14 機璣 ‘mechanism’.  ||  [E] Prob. related to MK-Khmer kēka /kaaɛk/ ‘to bend out at midpoint’ (horns, arms) ᛝ kēṅa /kaaɛŋ/ ‘form or present a sharp angle, bent sharply’; Khmer has no syllable of the type kiik; for the absence of final *-k in OC, see §6.9. "
2966-Skillfulengraving,Skillful engraving,,,2966-Skillfulengraving,"  ‘Skillful engraving’ [SW], prob. cognate to → qì2 契, and / or → gè5 吏. "
2967-Scriptnotches,Script notches,,,2967-Scriptnotches,"  ‘Script notches’ [Yi] (Karlgren 1956: 11).   ||  [<] exopass. of qiè 鍥 (kʰiet) (§4.4), lit. ‘what has been cut’   [C] An allofam is prob. → qì1 凵 ‘engraving’; perh. also to → gè5 吏.  "
2968-Tocut,To cut,,,2968-Tocut,"  ‘To cut’ [Xun], ‘cut through’ [Zuo]. "
2969-Toreachto,To reach to,,,2969-Toreachto,"  ‘To reach to’ (the four seas), ‘attain’ (wealth), ‘come to the point that’ [Shi, Shu].  ||  [E] Etymology not certain: qì could be related to → jì4 暨 (gjiᶜ 3), but see there for a more likely affiliation, also the MC fricative initial x- usually does not alternate with a velar stop (g-) in a wf. Alternatively, perh. related to yì 詣 (ŋieiᶜ) ‘come to’ (under → yí11 儀)."
2970-Topresent,To present,,,2970-Topresent,"  ‘To present’ food [SW: Zuo], grain [Guoyu], or live animals [Lun] > ‘animals’ [Zuo].   ||  [<] exoactive (extrovert, ditrans.) of qì 迄 (§4.3.1), lit. ‘cause someone to attain food’. "
2972-Toweep,To weep,,,2972-Toweep,"  ‘To weep’ [Shi].   ||  [E] ST: PTB *krap ‘to weep’ > Kanauri krap ‘to weep’, WT kʰrab-kʰrab ‘a weeper’, JP kʰrap³¹ (Bodman 1980: 163), Chepang kryap ‘to cry, weep’, Lepcha hryóp ( < *kʰryap). CH aspiration is associated with emphatic outward gesture §5.8.5. "
2974-Tothatcharoofcoverrepair,"To thatch a roof, cover, repair",,,2974-Tothatcharoofcoverrepair,"  ‘To thatch a roof, cover, repair’ [Zuo, Zhouli].    ||  [<] *Ɂip + ST caus. s-prefix (§5.9.1).   ||  [E] ST: WT skyibs (< *s-Ɂips) ‘a shelter from above’ (from rain etc.); prob. also cognate to NNaga *ciup ‘roof’ One of the sources of WT sk- has been shown to be *s-Ɂ-; the etymon is therefore derived from ST *Ɂip: WT yib ‘eaves, shed’ ᛝ yib-pa ‘to hide oneself, place of concealment’, Lushai uupF ‘be sheltered from wind, free from draughts’. For the *up ~ *ip alternations, see §11.5.1. Prob. related to → yì2 邑 ‘settlement’. "
2975-Air,Air,,,2975-Air,"  ‘Air’ [Lie], ‘breath, disposition’ [Lunyu], ‘vapor’ [Zuo], ‘vital principle’ [Li].   ||  [T] Sin S. SR k'jej (去), PR k'i; MGZY khi (去) [k'i]; ONW kʰiᶜ  ||  [E] AA: Kharia kʰis ‘anger’, Sora kissa ‘move with great effort’, Khm kʰɛs ‘s’efforcer’ (‘strive after, endeavor’). It is also found in TB-JR khɐs ‘anger’ (cited by Ostapirat LTBA 21.1, 1998: 239). CH aspiration is associated with exhaling §5.8.5."
2976-Beangry,Be angry,,,2976-Beangry,"  ‘Be angry’ [Zuo]. This is a semantically narrower, more vernacular j-less variant of the above (§9.1.1).  "
2979-Thousand,Thousand,,,2979-Thousand,"  ‘Thousand’ [OB].  ||  [T] Sin Sukchu SR ts'jen (平); MGZY tshÿan (平) [ts'jɛn]  ||  [N] Phonetic is → rén1 人 (ńźjen) ‘human being’ (Pulleyblank 1962: 133; Baxter 1992: 223), the initial is parallel to → qī1 七. Alternatively, the tsʰ- initial may anticipate a development which is commonly found in Mǐn dialects, see → xū4 須鬚 < *sn- for an example.   ||  [E] Etymology not clear. MK has a similar-looking word, but the initial and final nasals do not agree with OC: Viet nghìn, Mon l-ṅim ‘thousand’ [Maspero 1912: 63]. "
2981-Lead,Lead,,,2981-Lead,"  ‘Lead’ n. [Shu].   ||  [T] Sin Sukchu SR jen (平); MGZY ywÿan (平) [jyɛn]  ||  [D] Most Mand. and Wú dialects derive the word from an aspirated velar initial, e.g. W-Wēnzhōu kʰa⁴⁴ because re-etymologization (§2.8) may have connected it with qiān 掔 ‘solid, hard’ (under → jiān2 堅). In southern dialects, the initial agrees with the QY reading: M-Xiàmén iɛn³⁵, Xiāng-Shuāngfēng u˜ı¹³. "
2983-Totakepluck,"To take, pluck",,,2983-Totakepluck,"  ‘To take, pluck’ [Chuci] is cognate to WT ’kʰyer-ba ‘to take, bring, carry’ (HST: 117), although one should expect MC div. IV vocalism (< *ia, *e). "
2985-Topullleadbyarope,To pull / lead by a rope,,,2985-Topullleadbyarope,"  ‘To pull / lead by a rope’ (cattle) [BI, Shu], ‘attach’ [L¨u], qiān niú 牽牛 ‘herd-boy’.  ||  [D] Xiāng-Shuāngfēng kʰ˜ı ⁵⁵, K-Méixiàn kʰian⁵⁵, Y-Guǎngzhōu hin⁵³ ‘to pull by a rope’; M-Amoy kʰanᴬ¹ (lit. kʰien) ‘to lead by the hand, drag along, stretch out or tighten a rope’. "
2986-Bowstring,Bowstring,,,2986-Bowstring,"  ‘Bowstring’ [Yili], ‘string of a musical instrument’ [Lunyu].  ||  [T] ONW Ɣėn.   ||  [<] endopass. of qiān 牽 (kʰien) (§4.6), lit. ‘something pulled tight’.   ||  [C] Allofam is perh. → jǐn1 緊. "
2987-All,All,,,2987-All,"  ‘All’ (the people present) [Shu].  ||  [E] ? MK: Mon com ‘entirely, all, solely’. "
2988-Modest,Modest,,,2988-Modest,  ‘Modest’ [Yi].  ||  [E] ST: WT kʰram-pa ‘modest’ (Geilich 1994: 262). 
2989-Deficientmodest,"Deficient, modest",,,2989-Deficientmodest,"  ‘Deficient, modest’ [Xun]; also read (kʰiemᴮ) LH kʰemᴮ, OCM *khemɁ"
2990-Modest,Modest,,,2990-Modest,"  ‘Modest’, integrity’ [Lunyu]. "
2992-Topinch,To pinch,,,2992-Topinch,"  ‘To pinch’ 拑 [Guoce], ‘pinched together’ 鉗 [Zhuang]. "
2993-Awoodengag,A wooden gag,,,2993-Awoodengag,"  ‘A wooden gag’ 柑 [Gongyang], 箝 [Xun] is prob. an allofam of → xián11 銜 ‘horse’s bit’ and of → hán1 含函 ‘have in the mouth’. "
2994-Beinfrontofbeforeformer,"Be in front of, before, former",,,2994-Beinfrontofbeforeformer,"  ‘Be in front of, before, former’ [Shi], ‘advance’ [Li].  — Etymology not clear.   ||  [T] Sin Sukchu SR dzjen (平); MGZY tsen (平) [dzɛn]; ONW dzėn"
2995-Heavenly,Heavenly,,,2995-Heavenly,"  ‘Heavenly’ [Yi].  ||  [E] ST: PTB *m-ka-n (STC 157 n. 428; HPTB: 450) > WT mkʰa ‘heaven’, Limbu kʰa ‘sky’ (in expressions), Magari nam-kʰan ‘sun’, Southern Kuki kʰaːn- ‘sky’ (LTBA 11.2, 1988: 110).    ||  Acc. to Benedict, these forms belong to the PTB root *ka ~ *ga ‘open / opening’ > ‘wide’, also > ‘mouth, door’ etc. Karlgren (1956: 13) relates this word to → gān9 乾 ‘dry’ (not likely). "
2996-Black,Black,,,2996-Black,"  ‘Black’ [Zuo], qián-shǒu 黔首 (‘black heads’:) ‘common people’ [Shiji].   ||  [E] Perh. area word related to PTai *kʰəm⁵ ‘dark’, MK-PEKatuic *ko≠om ‘black’. See → tǎn5 黮 for further items. "
3000-Coin,Coin,,,3000-Coin,"  ‘Coin’ [Guoyu].    ||  [T] Sin Sukchu SR dzjen (平); MGZY tsen (平) [dzɛn]; ONW dzian  ||  [E] Early coins had the shapes of spades and knives; therefore qián is a derivation from jiǎn (Qiu Xigui 2000: 259). Alternatively Boltz (1994: 100) explains qián as ‘a fragment, token’; Wáng Shèngměi (Song Dyn.) considers qián derived from → qiǎn2 淺 ‘shallow’ > ‘thin’ (Qiu Xigui 2000: 258f).  ||  Qián is loaned into PMY as *dziɴᴬ (Purnell 1970) ‘money’, and OJapanese as zeni (Miyake 1997: 186). "
3001-Hoeweeder,"Hoe, weeder",,,3001-Hoeweeder,"  ‘Hoe, weeder’ [Shi 276].  "
3002-Tosendtosendaway,"To send to, send away",,,3002-Tosendtosendaway,"  ‘To send to, send away’ [BI, Shi], ‘let go’ [Zuo].  ||  [E] ST: WT skyel-ba ‘to send’ (Unger Hao-ku 35, 1986: 30). Loss of a ST pre-initial could be responsible for aspiration §5.8.1."
3003-Toconveysacrificialmeattothegrave,To convey (sacrificial meat) to the grave,,,3003-Toconveysacrificialmeattothegrave,  ‘To convey (sacrificial meat) to the grave’ [Li]. 
3004-Beshallowwaterthinhair,"Be shallow (water), thin (hair)",,,3004-Beshallowwaterthinhair,"  ‘Be shallow (water), thin (hair)’ [Shi]."
3005-Beshallowsmall,"Be shallow, small",,,3005-Beshallowsmall,"  ‘Be shallow, small’ [Shi]. "
3006-Insincereartful,"Insincere, artful",,,3006-Insincereartful,"  ‘Insincere, artful’ [Guoyu] (Karlgren GSR 155m < ‘shallow words’). "
3007-Cheap,Cheap,,,3007-Cheap,"  ‘Cheap’ [Zuo], ‘low, mean’ [Lunyu]. "
3008-Dissatisfied,Dissatisfied,,,3008-Dissatisfied,  ‘Dissatisfied’ [Li]. The OCM medial *l  is suggested by the phonetic series (GSR 627). 
3009-Satisfied,Satisfied,,,3009-Satisfied,"  ‘Satisfied’ 慊 [Meng], 愜 [Guoce]. Holding something in the mouth can be a metaphor for an emotional state, therefore these words may be derived from qiǎn 嗛.  ||  [E] There is prob. no connection with → hán1 含函 (so Wáng Lì 1982: 605). On the other hand, this wf may belong to → jiān7 兼 in the sense of ‘holding the jaws together’. However, note TB-Lushai kʰamR < kʰamɁ (< *-Ɂ) ‘be satisfied, satiated; be tired of, stiff’ (but without medial -l-)."
3010-Toholdinthemouth,To hold in the mouth,,,3010-Toholdinthemouth,  ‘To hold in the mouth’ [Dadai Liji]. 
3012-Toyawn,To yawn,,,3012-Toyawn,"  ‘To yawn’ [Liji].   ||  [T] Sin Sukchu SR k'jem (去), PR, LR k'jen; MGZY khem (去) [k'ɛm].    ||  [D] The Cantonese initial in haamᶜ¹ ‘to yawn’ is a regular reflex of earlier kʰ-.   ||  [E] ST *k-ham: (1) PTB *kam: Chepang kamh ‘to yawn’, JP gă³¹-kʰam³¹ ‘yawn’ [Weidert 1987: 29]. (2) PTB *ham: Lepcha hóm (< *kʰam) ‘to gape, yawn’ ᛝ hyóm (< *kʰjam) ‘to gasp’ (Bodman 1980: 160); Lushai haamᴸ / hamF (< haams / haamɁ) ‘to gape, yawn, to have a gap’. CH aspiration is associated with the meaning ‘hollow, empty’ §5.8.6 and with exhaling §5.8.5. "
3014-Red,Red,,,3014-Red,"  ‘Red’  倩 [Shi], ‘dark red’ 綪 [Zuo].  "
3015-Red,Red,,,3015-Red,"  ‘Red’ [Zhouli], ‘reddish brown: red horse, red sacrificial animal’ [Shi].  ||  The reason for the different final nasals is not clear (provided these words are cognates). It is tempting to relate this wf to Lushai senᴴ ‘red’, Tiddim san (so CVST 4: 22); however, the TB etymon derives from PTB *tyan (STC: 15-16 n. 63). "
3016-sheep,sheep,,,3016-sheep,"  Name of different western TB tribes from Shang OB down to the present. The graph implies that these people raised sheep. Pulleyblank (1983: 418f) suggests that the name is derived from → yáng 羊 ‘sheep’ which is also phonetic, although the SW states that the graph is a semantic compound. However, the name Qiāng may be a foreign word which brings to mind WT skyoŋ-ba, bskyaŋs ‘to guard, keep, tend’ (animals), PTB *kyoŋ (STC no. 161), Qiāng means then ‘herders’. The Tib. word is cognate to → yǎng2 養 ‘nourish, feed, rear’.  ||  The clan name Jiāng 姜 (kjaŋ)  MTang kiaŋ < kaŋ, ONW kaŋ (of Rong / Zhou provenance) is not necessarily connected to Qiāng, SW says that yáng ‘sheep’ is only phonetic (Pulleyblank EC 25, 2000: 16).  "
3017-Ahollowwoodenbeateninstrumentofmusic,A hollow wooden beaten instrument of music,,,3017-Ahollowwoodenbeateninstrumentofmusic,"  ‘A hollow wooden beaten instrument of music’ [Li].  ||  [E] Etymology not certain, perh. related to TB-Mru kʰoŋ ‘wooden drum’ (Löffler 1966: 142). The OC word may be a derivation with caus. *r (§7.5) from → kōng  空 ‘hollow’, lit. a thing made empty’. Alternatively, note MK-Khmer /khòoŋ/ ‘be sunken, hollow, concave’ ᛝ /krɑhòoŋ/ ‘hollow, hole, rut’ (Jenner / Pou 1982: 397). CH aspiration is associated with the meaning ‘hollow, empty’ §5.8.6."
3018-Tobeat,To beat,,,3018-Tobeat,  ‘To beat’ [Zhuang]. 
3020-Bestrong,Be strong,,,3020-Bestrong,"  ‘Be strong’ [Shi]; 強 [Meng].   ||  [T] Sin Sukchu SR gjaŋ (平); MGZY (kÿang >) kyang (平) [gjaŋ]; MTang giaŋ < gaŋ, ONW gaŋ  ||  [D] M-Xiàmén col. ki˜uᴬ², lit. kioŋᴬ²    ||  [E] ST: Lepcha kraŋ ‘be strong on legs’, Lushai ṭaŋᴴ / ṭanᴸ < ṭanh (< traŋs) ‘put forth all one’s strength’.  ||  Wáng Lì (1982: 341) includes many additional words. This wf ‘strong’ and → gāng4 剛鋼 ‘hard’ with its relatives bleed into each other. "
3021-Strongvigorous,"Strong, vigorous",,,3021-Strongvigorous,"  ‘Strong, vigorous’ [Lunyu] is perh. a variant of qiáng. "
3022-Makeaneffortcompel,"Make an effort, compel",,,3022-Makeaneffortcompel,"  ‘Make an effort, compel’ 彊 [Meng]; 強 [Zuo] is a verbal derivative of qiáng; the meaning ‘hard (soil)’  prob. goes with → gāng4 剛鋼. "
3023-Fierce,Fierce,,,3023-Fierce,  ‘Fierce’ [Shi]. 
3024-Strong,Strong,,,3024-Strong,  ‘Strong’ [Zuo] (Wáng Lì 1982: 341). 
3025-Strong,Strong,,,3025-Strong,  ‘Strong’ [Chuci]. 
3026-Strongpowerful,"Strong, powerful",,,3026-Strongpowerful,"  ‘Strong, powerful’ [Zuo]. "
3027-Stringcord,"String, cord",,,3027-Stringcord,"  ‘String, cord’ [Li], ‘band’ (by which infants are held on the back) [Lun], see → bǎo1  保. Possibly related to → gāng3 綱 ‘guiding rope (of a net)’. "
3029-Tibiaspokeofawheel,"Tibia, spoke of a wheel",,,3029-Tibiaspokeofawheel,"  ‘Tibia, spoke of a wheel’ [Zhouli]; ‘foot’ in Mǐn dialects: PMin *kʰauᴬ¹ > Amoy kʰaᴬ¹. Superficially, the Southern Mǐn and Tai forms look identical: PTai *kʰaᴬ ‘leg, thigh’: Zhuang kʰaᴬ ‘foot’ (Yue-Hashimoto CAAAL 6, 1976: 1), PKS *kwa¹ ‘leg’, but the rimes do not agree with CH. More likely, the KT item is related to → gǔ6 股 ‘thigh, leg’, considering that old loans do not closely agree in the voicing and in tones. "
3031-Stonysoil,Stony soil,,,3031-Stonysoil,"  ‘Stony soil’ 磽 [Meng], 墝 [Xun]. Perh. related to PMY *Ɂrau¹ ‘stone’ (Downer 1982). "
3033-Betall,Be tall,,,3033-Betall,"  ‘Be tall’ 喬 [Shi], 僑 [Zuo]; ‘cauldron with high feet’ 常 [BI].  "
3034-Highliftthehead,"High, lift the head",,,3034-Highliftthehead,"  ‘High, lift the head’ [Zhuang]; ‘proud, arrogant, high’ [Shi]. "
3035-Liftelevatedhigh,"Lift, elevated, high",,,3035-Liftelevatedhigh,"  ‘Lift, elevated, high’ [Xun]. Perh. → jiǎo17 蹻 ‘martial’ is the same etymon (so Wáng Lì 1982: 204). "
3036-Peak,Peak,,,3036-Peak,"  ‘Peak’ [Lie]. <> Tai: S. gook ‘hill’.   ||  [C] Allofams could be → gāo1 高, → jiǎo17 蹻. This wf is prob. not (closely) related to qiáo 翹 (gjiäu 4) ‘be precariously high’ [Shi], ‘lift’ [Zhuang] because of the difference in OC vocalism (*-iau, not *-au). NNaga *gyaw ‘high’ may be cognate to the latter.  "
3037-Crossbarcrosspiece,"Cross-bar, cross-piece",,,3037-Crossbarcrosspiece,"  ‘Cross-bar, cross-piece’ [Yili] > ‘bridge’ [Zuo]. "
3038-Awellsweep,A well-sweep,,,3038-Awellsweep,  ‘A well-sweep’ [Li] (Karlgren 1956: 11). 
3043-Holeopening,"Hole, opening",,,3043-Holeopening,"  ‘Hole, opening’ [Li] is prob. a ST word: WB kʰyok chasm, gulf’ (HST: 95). Alternatively or in addition, this word may be a k-prefix concrete noun derivation from → tiǎo 窕 *liâuɁ (or *jâuɁ) ‘to bore a hole’ (§5.4). CH aspiration is associated with the meaning ‘hollow, empty’ §5.8.6."
3044-Eggplant,Eggplant,,,3044-Eggplant,"  ‘Eggplant’. The MC rime is unique.   ||  [D] Y-Guǎngzhōu kʰɛᴬ², Táishān kʰiɛᴬ²; K-Méixiàn kjʰioᴬ²; PMin *giɔ  ||  [E] <>  PTai *kʰieᴬ¹ > S. kʰiaᴬ¹ ‘eggplant’. "
3045-Moreoverinadditionaswell,"Moreover, in addition, as well",,,3045-Moreoverinadditionaswell,"  ‘Moreover, in addition, as well’ [Shi], ‘about to, on the point of’ [Guoce]. An allofam is → jiāng4 將 ‘about to’ acc. to Pulleyblank (1962: 233).   ||  [T] Sin Sukchu SR ts'je (上); MGZY tshÿa (上) [ts'jɛ]; ONW tsʰia"
3048-Goaway,Go away,,,3048-Goaway,  ‘Go away’ [Shi] is cognate to → qù1 去 (kʰjwoᶜ) ‘go away’ (so Pulleyblank in Rosemont 1991: 30). CH aspiration is associated with outward motion §5.8.5. 
3050-Tosteal,To steal,,,3050-Tosteal,  ‘To steal’ [Shu]. Bodman (ICSTLL 1988) relates this to JR ka-skʰiEt ‘to take’. 
3055-Invadeencroachupon,"Invade, encroach upon",,,3055-Invadeencroachupon,"  ‘Invade, encroach upon’ [Shi].   ||  [T] Sin Sukchu SR ts'im (平), PR, LR ts'in; MGZY tshim (平) [ts'im]; ONW tsʰim  ||  [E] Two ST etymologies are possible: (1) WT stim-pa, bstims ‘enter, penetrate’ ᛝ tʰim-pa ~ ’tʰim-pa ‘be absorbed, disappear’ (so Bodman 1980: 57). The WT items do agree just as well with → jìn2 浸 ‘soak’ with which qīn may be related. (2) The CH graph shows a broom, hence perh. cognate to TB-Nung šim ‘to sweep’, Miri səm-pek ‘broom’ (pek ‘to sweep’), Maru šam < *sim ‘to sweep’ (Benedict HJAS 4, 1939: 226f; STC: 170; HPTB: 305). CH aspiration is associated with forceful motion §5.8.5. "
3056-Thread,Thread,,,3056-Thread,"  ‘Thread’ [Shi], also MC tsjəm and sjäm; the reading sjäm may have been influenced by → xiàn6 線 (sjän) ‘thread’ or → xiān7 纖 (sjäm) ‘fine-textured silk’.   ||  [E] ? ST: JP ă³¹-tsam³¹ ‘string’, WT ’tsʰem-pa ‘to sew’ (CVST 4: 22). "
3057-Ablanketcoverlet,"A blanket, coverlet",,,3057-Ablanketcoverlet,"  ‘A blanket, coverlet’ [Shi].  ||  [E] Etymology not clear. (1) The word could perh. be  a k-prefix concrete noun derived from → yīn5 陰 ‘overcast’, i.e. ‘covered’ (§5.9.4; §5.4). Comparanda may include: (2) WB kʰrum ~ kʰyum ‘cover, overspread’ (by plants), WT grum-če ‘thick woolen blanket’ (CVST  5: 109). (3) WT kʰyim ‘house’ (i.e. ‘shelter, cover’) which is derived from TB *im; but see → yì8 邑. "
3058-Asingleshroud,A single shroud,,,3058-Asingleshroud,  ‘A single shroud’ [Yili]. 
3060-Aclosepersonparentsaffectionate,"A close person, parents, affectionate",,,3060-Aclosepersonparentsaffectionate,"  ‘A close person, parents, affectionate’ [Shi, Shu], ‘oneself, personally’ [Shi, Shu, BI],   ||  ‘to love’ (such as parents, siblings, children) [Meng].   ||  [T] Sin Sukchu SR ts'in (平); MGZY tshin (平) [ts'in]; ONW tsʰin  ||  [E] Etymology not certain. One ancient commentator remarks that anciently qīn sounded like qiān 千 *snhîn by which he may, or may not, have been pointing to an n-initial (§5.9.1.1); if the word had an n-initial, it could be related to → rén2 仁 (so Boodberg 1937: 362), especially considering the overlapping meanings ‘to love’.   ||  More likely, qīn is related to the stem → jí7 即 ‘approach > be close’ with the nominalizing n-final (§6.4.3), then lit. ‘persons close to oneself, close ones’; the meaning ‘oneself’ is more likely to derive from the notion ‘close’ than from ‘to love’. Furthermore, WT has a semantic parallel: gñen ‘a kinsman, relative’ < ñe-ba ‘be near, approach’. "
3061-China,China,,,3061-China,"  The western state of Qín and the dynasty. Qín is often thought to be the source of ancient European words for ‘China’: Lat. ‘Sina’ etc., modern Western languages ‘China’. Also the word for ‘silk’ may ultimately be derived from this name: Gr. sērikón, i.e. ‘the Chinese one, (the stuff) from China’. These ancient loans suggest that the original final was *-r, not *-n (Pulleyblank 1962: 229-230). The graph was originally intended for zhēn (tṣjɛn) ‘hazel’. "
3062-Clay,Clay,,,3062-Clay,  ‘Clay’ [SW]. 
3063-Toplasterinter,"To plaster, inter",,,3063-Toplasterinter,"  ‘To plaster, inter’ [Shi]. "
3064-Totoillaborbezealous,"To toil, labor, be zealous",,,3064-Totoillaborbezealous,"  ‘To toil, labor, be zealous’ 勤 [BI, Shu]; ‘sincere, energetic’ [Lie] > ‘sad’ 慬 [Gongyang]. "
3065-Distressdifficultyhardship,"Distress, difficulty, hardship",,,3065-Distressdifficultyhardship,"  ‘Distress, difficulty, hardship’ [OB, BI, Shi], 艱食 ‘foods of hardship / toil’, i.e. cultivated foods [Shu].   ||  [C] Perhaps cognate to → jìn6 饉殣 (gjenᶜ 3), but see there. "
3066-Gamebirdbirdfowl,"Game bird, bird, fowl",,,3066-Gamebirdbirdfowl,"  ‘Game bird, bird, fowl’ (opposite of → shòu 獸 ‘quadruped’) [Zuo, EY], ‘game’ (animal) [Yi].   ||  [E] Etymology not certain. It appears to be the same word as → qín5 擒 ‘catch’ (animals etc.) and would thus be parallel to shòu 狩 ‘to hunt’ ~ → shòu3 獸 ‘wild animal’. However, the similarity with the common AA word for ‘bird’ is striking:  ||  AA: PVM -ciːm ‘bird’ [Ferlus] (the initial of Viet. căm [kəmᴸ] ‘bird’ could be the result of interference from OC); PMon *kɲciəm ‘bird’ (general term), Kyanzittha OMon (12th cent. AD) kiñcem, Mon *həcem, LitMon gaceṁ, gacem; Nyah Kur *kəɲciam, some dialects have ŋkyiam and the like [Diffloth 1984: 71]; Wa-Lawa *sem; Chong (Pearic) chiiɁm [Huffman 1985]. <> Note also AN: PEastern Formosan *qayam ‘bird’ [Li Jen-kuei LL 5.2, 2004: 369].  ||  These MK items cannot be late loans from Mandarin. It is also unlikely that a language family would borrow a marginal OC word (the CH word for ‘bird’ has been (mutatis mutandis) the equivalent of Mand. → niǎo 鳥 throughout the ages). Therefore early PMK *kcəm is the source for OC (there are more OC animal names of AA origin). The voiced velar initial may have won out in OC because of the semantic association of ‘game bird’ with qín ‘catch’, so that the two words converged. If qín ‘catch’ should go back to some early MK word, the two items might have been nearly identical: note OMon ckem ‘grasp’ (under → jiān7 兼) vs. a hypothetical *kcem ‘bird’. "
3067-Tocatchcapture,"To catch, capture",,,3067-Tocatchcapture,"  ‘To catch, capture’ (animals, people, booty) [BI, Guoyu].  ||  [E] Etymology not certain. TB-WT sgrim-pa ‘to hold fast, force / twist together, squeeze in’ (Gong in W. Wang 1995: 86) is semantically rather removed from qín; PTamang *kim ‘to take’ [S. Georg 1996: 309] should correspond to a MC palatal initial. The word may, however, derive from an AA variant of → jiān7 兼 *kêm ‘grasp’. See also → qín4 禽 ‘bird’.    ||  (qín6)  □  PMin *dzimᴬ   ||  ‘A type of crab’: Fúzhōu siŋᴬ², Amoy tsimᴬ², is borrowed from MK ‘king crab’ Bahnar kɣtam, WrMon khatam (Norman / Mei 1976: 298). "
